"Gender Inequality Index (GII)"
"64","Turkey","0.631"," a","0.591","..","0.564","..","0.418","..","0.374","..","0.360","..","0.348","..","0.340","..","0.326","..","0.316","..","0.317",".."
"162","Uganda","0.659"," a","0.650","..","0.598","..","0.564","..","0.552","..","0.546","..","0.539","..","0.533","..","0.528","..","0.525","..","0.523",".."
"88","Ukraine","0.480"," a","0.385","..","0.372","..","0.334","..","0.330","..","0.318","..","0.312","..","0.297","..","0.292","..","0.286","..","0.285",".."
"34","United Arab Emirates","0.644"," a","0.609","..","0.592","..","0.230","..","0.245","..","0.245","..","0.244","..","0.245","..","0.230","..","0.232","..","0.232",".."
"14","United Kingdom","0.237"," a","0.215","..","0.206","..","0.172","..","0.164","..","0.160","..","0.154","..","0.148","..","0.133","..","0.119","..","0.116",".."
"13","United States","0.305"," a","..","..","0.264","..","0.242","..","0.237","..","0.227","..","0.222","..","0.212","..","0.206","..","0.189","..","0.189",".."
"55","Uruguay","0.438"," a","0.390","..","0.374","..","0.325","..","0.324","..","0.318","..","0.319","..","0.316","..","0.283","..","0.279","..","0.270",".."
"105","Uzbekistan","..","..","..","..","..","..","..","..","..","..","..","..","0.270","..","0.269","..","0.276","..","0.274","..","0.274",".."
"78","Venezuela (Bolivarian Republic of)","0.539"," a","..","..","0.475","..","0.474","..","0.473","..","0.472","..","0.471","..","0.469","..","0.467","..","0.478","..","0.454",".."
"116","Vietnam","0.382"," a","0.347","..","0.317","..","0.330","..","0.330","..","0.328","..","0.326","..","0.323","..","0.323","..","0.305","..","0.304",".."
"178","Yemen","..","..","0.818","..","0.813","..","0.820","..","0.821","..","0.824","..","0.827","..","0.830","..","0.839","..","0.833","..","0.835",".."
"144","Zambia","0.642"," a","0.647","..","0.613","..","0.568","..","0.572","..","0.567","..","0.562","..","0.561","..","0.546","..","0.519","..","0.517",".."
"156","Zimbabwe","0.598"," a","0.632","..","0.591","..","0.580","..","0.574","..","0.568","..","0.531","..","0.534","..","0.540","..","0.537","..","0.534",".."
"35","Andorra","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"147","Angola","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
